Gestor;Cod_Assunto
9973;21104
8869;21349
9880;20050
9973;21119
9880;20157
9973;21518
9973;20947
9880;20227
8593;21027
8008;21282
8596;21157
8596;21159
9880;20088
8596;21093
9973;20971
9797;21511
9973;20051
9880;20052
8593;21240
9973;21126
8593;21263
9973;21106
9973;20049
9973;20952
8596;21164
9951;21109
9880;20024
9951;20985
9973;21080
9973;21457
8869;21319
9973;20503
9973;20957
8008;21287
8869;21308
8869;21344
8593;21019
9880;20010
9880;20233
9951;21259
9973;21153
9880;20232
8869;21297
8869;21346
9973;20763
8596;22129
9973;21504
9797;21223
9951;20988
9973;21090
9973;21526
9897;21350
9880;20818
9880;20056
9973;21063
8593;21029
9880;20004
9797;20694
9973;20046
9973;21503
9880;20012
9973;20960
8869;21305
9880;20127
9880;21474
9880;20020
8869;21317
9880;20005
8869;21376
9880;20111
9880;20006
9880;20099
9973;21107
9880;20153
9797;21521
9973;20905
9973;20928
9973;20921
9973;21258
9973;20927
9973;21082
9880;20826
9973;20893
9880;20807
9880;20141
9973;20937
9880;20035
8596;21162
9973;21166
8869;21320
8593;21264
9973;21507
9973;21156
9880;20679
9880;20639
9973;21079
9973;20938
9797;20177
8869;21548
8593;21025
9973;21123
9973;21155
9880;20015
9973;20949
9973;21085
9880;20551
9973;20156
8008;21595
9973;21247
9880;20239
9973;21537
9973;21092
9797;21189
9973;20690
9973;20965
9973;21113
9973;20922
9880;20492
9951;21257
9880;20170
9973;20731
9880;20737
9973;21243
9973;22136
9880;20001
9951;20047
9973;20944
9973;21505
9973;21081
9973;21165
9880;21077
8008;21596
9973;21111
9797;20180
9973;20948
9880;20168
9973;20945
9973;21151
8869;21531
9973;20936
9880;22090
9880;20041
9973;21517
9880;20783
8595;22132
9880;20710
9973;20976
9797;20955
9880;20017
9880;20793
9958;21214
8593;21265
9880;20787
9973;20130
8596;21099
9951;21061
9880;21514
9958;21216
9797;20496
9973;20924
9973;20061
9880;20229
9897;21369
8869;21331
9951;20249
9973;21041
9973;21032
8869;21348
9973;20745
9973;20903
9880;20784
8593;21084
9973;21545
9951;21229
9973;21501
9973;21015
8008;21601
9880;20759
8869;21529
9973;21506
9973;21499
8008;22138
9797;20507
9973;20931
8869;21296
9880;20021
9951;20254
9880;20221
9973;21237
9880;22133
9880;20003
9973;20106
9973;21102
9868;22088
9973;20727
8869;21336
9973;21088
9973;20194
9973;20935
9880;20664
9973;20822
9958;21217
9958;20243
9951;20312
9973;21487
9880;20769
9880;20225
9973;20808
9797;20242
9797;21211
9973;20751
8869;20596
8869;21550
9880;20182
9973;20973
9973;21228
9973;20665
9880;20764
8869;21343
8593;20318
9973;20962
9973;20142
9951;21236
8869;20586
8008;21597
9797;21141
9958;21206
9958;21207
9880;20352
9880;20729
8869;21552
9973;21516
9973;20904
9797;21190
9868;21124
9973;20929
9973;20306
9973;21121
8869;21315
9880;20815
9797;21187
9973;20474
9951;20981
9880;22076
9897;21360
9880;20796
9973;20162
9797;21176
8869;21298
9951;20311
9897;21355
9880;20733
9973;20972
8593;20322
8008;21284
9880;20823
9797;21198
9951;21525
9880;20685
9880;20053
9973;20019
9880;20674
9973;20967
9880;20028
8869;21352
9880;20115
9973;21256
9973;20828
8869;21359
9973;21495
9880;20066
9958;21219
9973;21161
9951;20982
9880;20038
9973;20117
9973;22131
9973;21508
8869;20597
8595;22130
9880;20707
8869;21270
9973;20933
9951;21255
9973;20464
9951;21544
9973;20977
9973;20237
8869;21295
9797;21195
9797;21203
9973;20835
9880;20205
9973;20192
9797;21215
9973;20953
9973;20954
8939;21094
8593;20387
9973;20907
9797;20143
9951;20994
8869;20575
9951;21357
8869;21303
9958;21212
9973;21260
9973;20310
9880;20740
9958;21230
9880;20711
9951;21235
9973;20758
8939;21117
9973;20235
8869;21304
8869;21279
9973;20749
9973;20946
8869;21290
9973;21045
9973;20625
8939;21129
8939;21103
9880;20732
9973;20185
8869;21333
8869;21332
9973;20930
9951;20984
9951;22135
9797;21218
9973;20109
9880;20728
9973;21535
8869;21299
8008;20434
9797;21170
9951;20196
9797;21183
8869;21334
9973;20240
9880;20043
8869;21527
9880;21478
9973;20125
9973;21163
9797;21144
9973;20754
9797;20137
9958;21210
9880;20761
9897;20637
9880;20058
9880;20829
9973;20923
9880;20190
8869;21289
8869;21266
9951;20313
9797;21150
8869;21365
9797;21542
8869;20456
9797;21200
9973;20172
8593;21273
9797;21172
9880;20816
9797;21177
8939;21096
9880;21533
9951;21239
9797;21523
9973;20939
8557;21158
9973;21509
8869;21353
9973;22134
9797;21540
8869;21312
9797;21197
8939;21125
9973;20231
8869;20468
9951;20983
9797;21201
9897;20631
9973;20265
9880;20974
8869;21288
9973;20908
8869;20357
9973;20274
8869;21475
8869;21291
9880;20238
8939;21101
8869;21293
9880;20756
9880;20070
9797;20075
8869;21341
8869;20592
9797;21167
9973;20968
9973;21262
9897;21530
9797;21520
9973;21059
9951;20256
9880;20656
9797;20189
9973;20264
9973;20187
8869;20329
9951;21078
9880;20734
8869;21361
8869;21313
9958;20244
9973;21476
8869;20603
9951;20250
9797;21179
9973;20178
8869;21309
9973;21238
8869;21456
8869;20361
8939;20866
9897;20624
8869;20579
9973;20804
8869;21281
9880;20725
8869;21546
9868;21112
9797;21184
8869;21294
9973;20932
8869;21364
8869;21455
9973;20964
9973;22071
9973;21245
9797;21168
8869;21375
9880;20723
9880;20772
9880;21473
9880;20668
9951;21227
8869;20346
8869;20612
9797;21510
9973;20748
8869;21528
9973;20195
9973;20920
8593;21023
9797;21193
8595;21095
9973;20174
9880;20724
9973;20889
9951;21232
9897;21358
8869;21272
9880;20746
8869;20700
9880;20767
9973;20208
8869;20559
9880;20677
8595;22078
8869;21356
9880;20163
9973;20079
9973;20188
9880;20743
9973;20706
9973;21130
8939;22141
9880;20803
9797;21169
8008;21286
8869;20714
8869;20336
9797;21174
8869;21310
9973;21250
8593;20432
9973;20841
8869;21327
9958;20220
9973;20271
9897;20956
9973;21536
9973;21500
9797;21226
8869;20613
8869;20552
9897;20640
9973;20844
9973;20760
9973;21482
9973;20752
9973;20831
9880;20775
9880;20774
9880;20786
8869;21301
9797;21135
8939;21127
8869;21330
9880;20644
8869;21306
9973;20830
8593;21267
8869;20343
9951;21393
9797;21199
9973;21484
9973;20560
9797;21133
9797;21148
9897;21342
9973;20309
9973;20175
9880;20755
9880;20241
9797;21539
8869;21314
8869;20340
9973;20838
9973;20712
9973;20373
9973;21477
9973;21241
9797;21181
9973;20912
9973;20741
9973;20720
9973;20839
8869;21379
9951;20259
9973;20388
8869;20654
9880;21513
9797;20193
9897;21549
8008;20406
9797;21213
9797;20110
9973;20845
9973;20978
9797;20919
9880;20750
9973;20975
9973;20821
9951;20645
9797;21541
8869;21292
9973;20762
8008;21280
9797;20158
9973;20529
9880;20002
9897;20616
9973;20833
9880;22072
9951;20517
9797;20915
9973;20269
8869;20667
9797;20209
8869;20660
9797;20134
9973;21140
9897;20635
9973;21483
9897;21345
8869;20349
8869;20681
8869;21277
9973;21028
9797;21502
9880;21128
9880;20650
9958;20691
9973;20887
9897;21340
8593;20393
8008;20417
8593;21182
9973;21069
8869;20594
9880;20790
9797;20901
8593;21020
9973;20072
8008;21599
9973;20152
9897;20621
9973;20802
9880;22073
9797;21222
9897;20642
9797;20096
9880;22075
9973;21496
8008;21598
9973;20307
8869;20599
9797;21522
8939;20850
9958;20228
9797;21146
8869;21325
9797;21171
9880;20834
8869;21307
8869;21374
9797;20078
9797;21191
9880;20824
8869;20482
8869;20499
9797;21202
8869;20324
9880;20701
9973;20262
9973;22128
8869;21268
9951;21387
9880;20792
9880;21534
9797;20102
